Time,I,Q
11-42-24.113,5907,13077
11-42-24.176,5900,13087
11-42-24.234,5899,13084
11-42-24.297,5890,13097
11-42-24.359,5886,13104
11-42-24.426,5885,13094
11-42-24.488,5888,13095
11-42-24.547,5889,13083
11-42-24.613,5903,13080
11-42-24.672,5895,13075
11-42-24.730,5887,13090
11-42-24.797,5868,13110
11-42-24.859,5835,13136
11-42-24.926,5809,13155
11-42-25.063,5803,13198
11-42-25.113,6014,12982
11-42-25.176,6182,12830
11-42-25.234,6114,12835
11-42-25.301,6082,12805
11-42-25.359,6059,12844
11-42-25.426,6026,12850
11-42-25.488,5969,12869
11-42-25.547,5889,12918
11-42-25.609,6014,12862
11-42-25.672,5960,12894
11-42-25.734,6013,12847
11-42-25.797,6043,12857
11-42-25.871,6068,12862
11-42-25.875,6022,12882
11-42-26.031,5962,12908
11-42-26.047,5966,12907
11-42-26.113,5877,12934
11-42-26.172,5856,12946
11-42-26.230,5867,12954
11-42-26.297,5884,12948
11-42-26.359,5942,12871
11-42-26.426,6032,12832
11-42-26.484,6154,12743
11-42-26.547,6359,12629
11-42-26.609,6467,12627
11-42-26.672,6454,12647
11-42-26.730,6434,12641
11-42-26.797,6380,12660
11-42-26.855,6303,12697
11-42-26.922,6168,12760
11-42-27.027,6112,12831
11-42-27.043,6143,12840
11-42-27.105,6228,12763
11-42-27.168,6424,12709
11-42-27.230,6477,12692
11-42-27.297,6484,12719
11-42-27.355,6472,12714
11-42-27.422,6471,12713
11-42-27.480,6465,12720
11-42-27.543,6460,12714
11-42-27.609,6453,12717
11-42-27.680,6423,12730
11-42-27.727,6359,12746
11-42-27.797,6310,12838
11-42-27.855,6255,12878
11-42-27.863,6219,12888
11-42-28.027,6207,12895
11-42-28.043,6244,12873
11-42-28.105,6281,12827
11-42-28.168,6337,12795
11-42-28.230,6365,12772
11-42-28.293,6378,12757
11-42-28.355,6379,12755
11-42-28.414,6365,12773
11-42-28.480,6361,12779
11-42-28.543,6355,12784
11-42-28.609,6338,12785
11-42-28.668,6345,12802
11-42-28.730,6311,12822
11-42-28.793,6310,12815
11-42-28.855,6337,12810
11-42-28.922,6333,12793
11-42-29.035,6318,12809
11-42-29.043,6316,12806
11-42-29.109,6294,12816
11-42-29.168,6280,12819
11-42-29.230,6276,12828
11-42-29.297,6274,12825
11-42-29.355,6275,12824
11-42-29.422,6275,12817
11-42-29.480,6293,12817
11-42-29.543,6282,12822
11-42-29.609,6241,12840
11-42-29.672,6186,12884
