Time,I,Q
12-54-2.195,6154,12941
12-54-2.262,6151,12939
12-54-2.324,6128,12962
12-54-2.328,6058,12999
12-54-2.480,6030,13013
12-54-2.512,6003,13024
12-54-2.559,6009,13017
12-54-2.637,6002,13020
12-54-2.695,5998,13019
12-54-2.762,6004,13017
12-54-2.824,6028,13009
12-54-2.883,6069,13005
12-54-2.949,6081,12992
12-54-3.008,6102,12985
12-54-3.070,6102,12986
12-54-3.137,6103,12976
12-54-3.273,6094,12976
12-54-3.320,6106,12960
12-54-3.383,6137,12941
12-54-3.477,6145,12946
12-54-3.508,6123,12965
12-54-3.566,6059,12992
12-54-3.633,6085,12993
12-54-3.695,6106,12983
12-54-3.758,6164,12963
12-54-3.820,6190,12929
12-54-3.879,6328,12945
12-54-3.945,6327,12923
12-54-4.008,6273,12926
12-54-4.066,6257,12951
12-54-4.133,6218,12954
12-54-4.191,6198,12964
12-54-4.258,6198,12976
12-54-4.320,6193,12955
12-54-4.473,6160,12964
12-54-4.500,6095,12968
12-54-4.566,6033,12999
12-54-4.629,6038,12997
12-54-4.691,6038,12998
12-54-4.758,6051,12995
12-54-4.816,6044,12990
12-54-4.879,6035,12999
12-54-4.945,6059,12999
12-54-5.004,6076,12996
12-54-5.063,6089,12990
12-54-5.129,6066,13002
12-54-5.191,6070,12992
12-54-5.254,6054,12985
12-54-5.316,6083,12969
12-54-5.375,6111,12958
12-54-5.473,6103,12963
12-54-5.504,6061,12991
12-54-5.563,6017,13020
12-54-5.629,5981,13032
12-54-5.688,6098,12987
12-54-5.754,6099,12985
12-54-5.816,6154,12951
12-54-5.875,6189,12942
12-54-5.941,6300,12879
12-54-6.000,6298,12886
12-54-6.063,6257,12926
12-54-6.129,6161,12946
12-54-6.188,6134,12957
12-54-6.246,6141,12946
12-54-6.313,6133,12933
12-54-6.469,6024,12995
12-54-6.500,6013,13014
12-54-6.563,6030,13005
12-54-6.625,6014,13005
12-54-6.688,6027,13006
12-54-6.754,6050,13000
12-54-6.813,6051,12998
12-54-6.875,6057,12997
12-54-6.941,6068,12997
12-54-7.000,6085,12995
12-54-7.063,6074,12996
12-54-7.125,6047,13002
12-54-7.188,6046,12989
12-54-7.363,6079,12962
12-54-7.375,6058,13013
12-54-7.469,6032,13022
12-54-7.500,6001,13032
12-54-7.563,6083,13009
12-54-7.625,6103,12976
12-54-7.688,6187,12967
12-54-7.746,6217,12937
12-54-7.813,6245,12934
12-54-7.871,6253,12923
12-54-7.938,6218,12954
12-54-8.000,6151,12972
12-54-8.059,6125,12975
12-54-8.125,6128,12964
12-54-8.184,6138,12948
12-54-8.246,6138,12942
12-54-8.313,6083,12953
12-54-8.316,6044,12981
12-54-9.965,6008,13001
12-54-9.980,6010,13014
12-54-9.984,6014,13012
12-54-9.992,6051,12989
12-54-9.996,6035,12989
12-54-10.008,6056,12998
12-54-10.121,6065,12976
12-54-10.125,6084,12959
