Time,I,Q
10-13-0.898,2354,14967
10-13-0.965,2442,14983
10-13-1.027,1644,15235
10-13-1.043,1429,15241
10-13-2.695,1348,15243
10-13-2.727,1956,15103
10-13-2.777,2435,15143
10-13-2.840,2426,15148
10-13-2.871,2280,15160
10-13-2.922,1952,15042
10-13-2.965,2420,15040
10-13-3.027,2396,15070
10-13-3.188,2440,15046
10-13-3.219,2445,15041
10-13-3.285,2436,15047
10-13-3.344,2415,15062
10-13-3.406,2389,15073
10-13-3.473,2383,15076
10-13-3.535,2376,15077
10-13-3.602,2357,15083
10-13-3.648,2334,15095
10-13-3.711,2274,15122
10-13-3.777,2148,15163
10-13-3.840,1975,15213
10-13-3.902,1871,15261
10-13-3.965,1704,15287
10-13-4.145,1570,15302
10-13-4.184,1432,15303
10-13-4.215,1394,15300
10-13-4.281,1385,15298
10-13-4.344,1369,15295
10-13-4.406,1367,15292
